Pair,CORI
mRNA-miRNA,0.9936983765905845
mRNA-CNV,0.9955559323253566
mRNA-Methy,0.9878881359525352
miRNA-CNV,0.9945753147760721
miRNA-Methy,0.9955758133102415
CNV-Methy,0.9889343063308189
