Gene,Importance
HLF,0.25951362
FOXR1,0.25910527
ZBTB41,0.25773746
SOST,0.25757217
ACAT2,0.2566174
ANKRD10,0.25642383
LRP6,0.2556577
ZNF423,0.25552875
VTI1B,0.25491405
SPATA31A6,0.25445542
NR1I2,0.2543749
ALB,0.25411415
IDNK,0.25380474
CA10,0.25360212
ERCC6,0.25344723
NUGGC,0.25337085
SLC25A34,0.2529853
OVCA2,0.25262886
TCP10L2,0.25139007
EOMES,0.2507036
