Gene,Importance
SIX2,0.2999971
ISYNA1,0.29742366
PRKAR1A,0.29659802
RHOT1,0.2938564
ZZZ387,0.29370636
ANAPC1,0.2918054
ZZEF332,0.29140466
NPM2,0.28970057
CNDP1,0.28922987
C2orf88,0.28836694
HSD17B3,0.2858135
CDK17,0.28451586
PLBD1.AS1,0.2839952
ATP2A3,0.28296885
RRP7BP,0.28235322
SQSTM1,0.28127432
MAP3K19,0.28048757
TRERF1,0.28042883
CRYL1,0.2803929
HDHD3,0.27997294
