Gene,Importance
PDE6B,0.2931171
ZZZ5306,0.28526056
CDR2,0.28199047
FOXF2,0.27826458
IQCE,0.27282843
RP11.514P8.6,0.2717554
DCAF12,0.27162984
LIF,0.27133095
KLHL36,0.27120554
YWHAH,0.27068675
ARID3A,0.269482
PDCL2,0.26869112
ALG11,0.2676037
WDTC1,0.2675388
ZZZ5375,0.26737806
TCEB3,0.266353
CCNE1,0.26633176
TBX6,0.26604766
PI4KA,0.26583087
SRFBP1,0.2656768
