Gene,Importance
SYT8,0.29594174
OR8J3,0.2934082
CCDC115,0.28856614
ATP5L,0.2880963
RIBC2,0.28763038
OR2T4,0.2844389
ZZZ2460,0.28349853
AC004076.9,0.28206757
PPAPDC2,0.28115615
NOL10,0.27977782
ATG7,0.27715534
CTD.3074O7.11,0.27704364
ZZZ33,0.2751709
METTL14,0.27443516
IGSF1,0.2738792
ZSCAN5B,0.27382883
CHEK1,0.27366132
ZZZ5110,0.27329475
RNF4,0.2728312
SEMA3C,0.2726883
