Pair,CORI
mRNA-miRNA,0.9949504364952204
mRNA-CNV,0.9930294909473572
mRNA-Methy,0.9943113984573796
miRNA-CNV,0.9898266299371435
miRNA-Methy,0.9911705063543138
CNV-Methy,0.9927318973352346
