Pair,CORI
mRNA-miRNA,0.9951571007369855
mRNA-CNV,0.9972846608390996
mRNA-Methy,0.9969796254966126
miRNA-CNV,0.9950891077300014
miRNA-Methy,0.9960823788656761
CNV-Methy,0.9972755260849729
