Pair,CORI
mRNA-miRNA,0.992384765590898
mRNA-CNV,0.9962591615251895
mRNA-Methy,0.9958945288554956
miRNA-CNV,0.9903891486486336
miRNA-Methy,0.9918504844028223
CNV-Methy,0.9961104749718135
