Feature_Index,Importance_Score
3698,4.4630397e-06
3589,4.4335e-06
1038,4.4158915e-06
3951,4.4002963e-06
4684,4.372106e-06
3172,4.3670825e-06
590,4.3610416e-06
3977,4.333135e-06
24,4.298622e-06
2305,4.191622e-06
4764,4.1727585e-06
132,4.1666217e-06
2329,4.0682935e-06
71,4.0359514e-06
1262,3.9923434e-06
2031,3.9329443e-06
633,3.9299616e-06
361,3.9199454e-06
2611,3.9040633e-06
4074,3.878494e-06
