Gene,Importance
OR4M2,0.2951314
ENSG00000230031,0.27321142
KANK1,0.27294818
RP11.726G1.1,0.27144802
CCDC77,0.26760402
RMND5A,0.267335
DEFB106A,0.26655832
PRR23D1,0.26568437
FAM86B2,0.26463217
SPAG11B,0.26448447
GRAPL,0.26258892
GALNT13,0.2622596
DEFB4A,0.2597167
GMDS,0.25911027
NINJ2,0.25679293
SPIDR,0.25637767
USP17L2,0.25554484
PLAG1,0.25515556
TBC1D3B,0.25451005
CA8,0.25371704
