Gene,Importance
KCNRG,0.35556218
MGC12916,0.33221197
HENMT1,0.3267182
MSH4,0.32354906
AFAP1.AS1,0.31480408
TCF7,0.313358
RBM7,0.31061807
LTN1,0.30983317
ZNF274,0.3096214
FMO1,0.3093711
HTATIP2,0.30785212
UBA2,0.30732858
HS3ST3B1,0.3067506
ANO2,0.3061095
CHRNA7,0.30476922
RAB3GAP2,0.30470827
KHDRBS3,0.30313468
CYP4F8,0.3025241
PAXIP1.AS1,0.3020672
LINC01184,0.3015861
