Gene,Importance
H2AFJ,0.33025116
HIST1H3G,0.3275494
MEX3A,0.32466015
RIMKLB,0.31284496
LRRC34,0.31172395
MCAM,0.31164038
RDX,0.31154773
C1orf87,0.30599156
C11orf70,0.3046413
ARF5,0.30427235
C6orf58,0.30345905
INPP5E,0.30226985
COMMD4,0.30147094
MPP5,0.3010687
CASP2,0.30090857
CYB5R2,0.30026343
GPR98,0.29954338
HIST1H1B,0.29949188
PABPC4,0.29945248
SMIM10,0.29866615
