Gene,Importance
hsa.mir.155b,0.2611923
hsa.mir.3651,0.25794774
hsa.mir.485,0.2520737
hsa.mir.266,0.24986899
hsa.mir.4677,0.24233337
hsa.mir.2355,0.24090557
hsa.mir.664b,0.23902377
hsa.mir.232,0.23798425
hsa.mir.184.2,0.23745629
hsa.mir.23b,0.23375377
hsa.mir.935,0.23222938
hsa.mir.146b,0.23215365
hsa.mir.153.2,0.23084693
hsa.mir.169b,0.23031954
hsa.mir.110a,0.22925691
hsa.mir.146b.1,0.22867933
hsa.mir.374,0.22840373
hsa.mir.147b,0.228392
hsa.mir.652,0.22835293
hsa.mir.335,0.22656345
