Gene,Importance
ENAM,0.2494678
IL27,0.24912424
PPP2R3A,0.24834986
PRAC1,0.24415407
CARD10,0.24399242
CDC14A,0.24240255
SERP2,0.2420772
CEBPE,0.24183884
CFI,0.24101429
DNAL1,0.23949432
C11orf96,0.23838711
NFE2L3,0.23715572
CAT,0.23692188
ZZZ2542,0.23651561
ZZZ2466,0.2346117
MTMR8,0.23439164
RBM17,0.23399334
HYKK,0.23396425
DNAJC21,0.23363777
CRYZL1,0.23273352
