Pair,CORI
mRNA-miRNA,0.9976314644084733
mRNA-CNV,0.9967327200994818
mRNA-Methy,0.9950699659343513
miRNA-CNV,0.9958220617169432
miRNA-Methy,0.9951527483447692
CNV-Methy,0.9936056827853329
