Gene,Importance
KRT14,0.3267749
S100A2,0.29922804
SPDL1,0.29871613
GAL3ST2,0.29776812
NUSAP1,0.29622
DLGAP5,0.29387987
CENPK,0.29350132
PRPH2,0.28879428
KIF11,0.2884025
KIF15,0.28830197
PTTG1,0.28754988
NDC80,0.2874267
DEFB1,0.2864534
PARPBP,0.28557253
KIF20B,0.28548527
XRCC2,0.28519717
NCAPG2,0.28441256
TEKT4P2,0.28219786
DIAPH3,0.28126583
CKS1B,0.28093308
